3
1000
1000
4.308869e-02
10 01
T T
2.154435e-02 2.154435e-02 1.000000 0.025712 0.878561
9.195448e-01 6.448177e-03 6.448177e-03 1.000000 0.681459 0.252377
1.041339e-02 6.444680e-03 6.444680e-03 1.000000 0.546091 0.356090
8.369557e-01 6.444627e-03 6.444627e-03 1.000000 0.646779 0.444507
8.596934e-01 6.425093e-03 6.425093e-03 1.000000 0.531496 0.297050
6.093595e-01 6.422593e-03 6.422593e-03 1.000000 0.072572 0.826239
5.828676e-01 6.378782e-03 6.378782e-03 1.000000 0.015971 0.678281
8.754201e-02 6.376871e-03 6.376871e-03 1.000000 0.049589 0.828436
3.575278e-01 6.366090e-03 6.366090e-03 1.000000 0.797250 0.028313
3.393958e-01 6.360848e-03 6.360848e-03 1.000000 0.036970 0.547193
2.018331e-01 6.359240e-03 6.359240e-03 1.000000 0.988099 0.265126
6.195525e-01 6.353406e-03 6.353406e-03 1.000000 0.269361 0.327066
7.487598e-01 6.345322e-03 6.345322e-03 1.000000 0.017071 0.912486
5.988185e-01 6.338140e-03 6.338140e-03 1.000000 0.722590 0.684790
4.850478e-01 6.321231e-03 6.321231e-03 1.000000 0.162114 0.438658
9.108972e-01 6.284806e-03 6.284806e-03 1.000000 0.810655 0.768425
4.682676e-02 6.259209e-03 6.259209e-03 1.000000 0.439148 0.778169
4.094984e-01 6.257964e-03 6.257964e-03 1.000000 0.061544 0.660308
7.876930e-01 6.257623e-03 6.257623e-03 1.000000 0.307875 0.641597
1.912927e-01 6.244146e-03 6.244146e-03 1.000000 0.504047 0.661269
3.511447e-01 6.222408e-03 6.222408e-03 1.000000 0.412458 0.251915
6.805106e-01 6.219849e-03 6.219849e-03 1.000000 0.717369 0.532758
3.405052e-01 6.217769e-03 6.217769e-03 1.000000 0.944664 0.103492
9.274493e-01 6.198130e-03 6.198130e-03 1.000000 0.905880 0.437523
3.130970e-01 6.197243e-03 6.197243e-03 1.000000 0.092470 0.715722
6.578312e-01 6.192605e-03 6.192605e-03 1.000000 0.821277 0.371842
